index,Course Title,Course URL,Course Coupon,Course Full URL
1,Modeling and Rendering Cute Characters in Maya 2020,https://www.udemy.com/course/the-complete-html-5-course-from-scratch/,TRY10FREE22102,https://www.udemy.com/course/the-complete-html-5-course-from-scratch/?couponCode=TRY10FREE22102
2,Python for Beginners,https://www.udemy.com/course/modeling-and-rendering-cute-characters-in-maya-2020/,MARCH5,https://www.udemy.com/course/modeling-and-rendering-cute-characters-in-maya-2020/?couponCode=MARCH5
3,Introduction to Administrative Management for Beginners,https://www.udemy.com/course/python-for-beginners-t/,80D64DD33E1B061F6962,https://www.udemy.com/course/python-for-beginners-t/?couponCode=80D64DD33E1B061F6962
4,Sql Server 2019 para Principiantes encuentra un Buen Trabajo,https://www.udemy.com/course/introduction-to-administrative-management-for-absolute-begin/,ALPHAB,https://www.udemy.com/course/introduction-to-administrative-management-for-absolute-begin/?couponCode=ALPHAB
5,Marketing Digital - Generar Leads y Convertirlos en Ventas,https://www.udemy.com/course/sql-server-para-principiantes-encuentra-un-buen-trabajo/,PARAANGULAR,https://www.udemy.com/course/sql-server-para-principiantes-encuentra-un-buen-trabajo/?couponCode=PARAANGULAR
6,Master Solidworks 2021 - 3D CAD using real-world examples,https://www.udemy.com/course/marketing-digital-generar-leads-y-convertirlos-en-ventas/,LAUNCHSPECIAL,https://www.udemy.com/course/marketing-digital-generar-leads-y-convertirlos-en-ventas/?couponCode=LAUNCHSPECIAL
7,Master Hard Surface Modeling in Maya 2020,https://www.udemy.com/course/solidworks2021/,SW2021,https://www.udemy.com/course/solidworks2021/?couponCode=SW2021
8,Curso de Css- Introducción a las hojas de estilos en cascada,https://www.udemy.com/course/master-hard-surface-modeling-in-maya-2020/,MARCH4,https://www.udemy.com/course/master-hard-surface-modeling-in-maya-2020/?couponCode=MARCH4
9,Stock Trading Ninja: DIY Trading Manuel with Strategy,https://www.udemy.com/course/curso-de-css-introduccion-a-las-hojas-de-estilos-en-cascada/,80D8D67E2E83AEF920AD,https://www.udemy.com/course/curso-de-css-introduccion-a-las-hojas-de-estilos-en-cascada/?couponCode=80D8D67E2E83AEF920AD
10,Ethical Hacking - Hands-On Training - Part I,https://www.udemy.com/course/stocktrading1/,1MAR21,https://www.udemy.com/course/stocktrading1/?couponCode=1MAR21
11,Ethical Hacking - Hands-on Training Part II,https://www.udemy.com/course/hacking-made-easy-with-hands-on-training/,A4838546029962826D9B,https://www.udemy.com/course/hacking-made-easy-with-hands-on-training/?couponCode=A4838546029962826D9B
12,Digital Forensics for Pentesters - Hands-on Learning,https://www.udemy.com/course/ethical-hacking-hands-on-training-part-ii/,7827FBE2F0479EC23D05,https://www.udemy.com/course/ethical-hacking-hands-on-training-part-ii/?couponCode=7827FBE2F0479EC23D05
